N03_001,N03_002,N03_003,N03_004,N03_005,N03_006,N03_007
埼玉県,,さいたま市,西区,,,11101
埼玉県,,さいたま市,北区,,,11102
埼玉県,,さいたま市,大宮区,,,11103
埼玉県,,さいたま市,見沼区,,,11104
埼玉県,,さいたま市,中央区,,,11105
埼玉県,,さいたま市,桜区,,,11106
埼玉県,,さいたま市,浦和区,,,11107
埼玉県,,さいたま市,南区,,,11108
埼玉県,,さいたま市,緑区,,,11109
埼玉県,,さいたま市,岩槻区,,,11110
埼玉県,,,川越市,,,11201
埼玉県,,,熊谷市,,,11202
埼玉県,,,川口市,,,11203
埼玉県,,,行田市,,,11206
埼玉県,,,秩父市,,,11207
埼玉県,,,所沢市,,,11208
埼玉県,,,飯能市,,,11209
埼玉県,,,加須市,,,11210
埼玉県,,,本庄市,,,11211
埼玉県,,,東松山市,,,11212
埼玉県,,,春日部市,,,11214
埼玉県,,,狭山市,,,11215
埼玉県,,,羽生市,,,11216
埼玉県,,,鴻巣市,,,11217
埼玉県,,,深谷市,,,11218
埼玉県,,,上尾市,,,11219
埼玉県,,,草加市,,,11221
埼玉県,,,越谷市,,,11222
埼玉県,,,蕨市,,,11223
埼玉県,,,戸田市,,,11224
埼玉県,,,入間市,,,11225
埼玉県,,,朝霞市,,,11227
埼玉県,,,志木市,,,11228
埼玉県,,,和光市,,,11229
埼玉県,,,新座市,,,11230
埼玉県,,,桶川市,,,11231
埼玉県,,,久喜市,,,11232
埼玉県,,,北本市,,,11233
埼玉県,,,八潮市,,,11234
埼玉県,,,富士見市,,,11235
埼玉県,,,三郷市,,,11237
埼玉県,,,蓮田市,,,11238
埼玉県,,,坂戸市,,,11239
埼玉県,,,幸手市,,,11240
埼玉県,,,鶴ヶ島市,,,11241
埼玉県,,,日高市,,,11242
埼玉県,,,吉川市,,,11243
埼玉県,,,ふじみ野市,,,11245
埼玉県,,,白岡市,,,11246
埼玉県,,北足立郡,伊奈町,,,11301
埼玉県,,入間郡,三芳町,,,11324
埼玉県,,入間郡,毛呂山町,,,11326
埼玉県,,入間郡,越生町,,,11327
埼玉県,,比企郡,滑川町,,,11341
埼玉県,,比企郡,嵐山町,,,11342
埼玉県,,比企郡,小川町,,,11343
埼玉県,,比企郡,川島町,,,11346
埼玉県,,比企郡,吉見町,,,11347
埼玉県,,比企郡,鳩山町,,,11348
埼玉県,,比企郡,ときがわ町,,,11349
埼玉県,,秩父郡,横瀬町,,,11361
埼玉県,,秩父郡,皆野町,,,11362
埼玉県,,秩父郡,長瀞町,,,11363
埼玉県,,秩父郡,小鹿野町,,,11365
埼玉県,,秩父郡,東秩父村,,,11369
埼玉県,,児玉郡,美里町,,,11381
埼玉県,,児玉郡,神川町,,,11383
埼玉県,,児玉郡,上里町,,,11385
埼玉県,,大里郡,寄居町,,,11408
埼玉県,,南埼玉郡,宮代町,,,11442
埼玉県,,北葛飾郡,杉戸町,,,11464
埼玉県,,北葛飾郡,松伏町,,,11465
千葉県,,千葉市,中央区,,,12101
千葉県,,千葉市,花見川区,,,12102
千葉県,,千葉市,稲毛区,,,12103
千葉県,,千葉市,若葉区,,,12104
千葉県,,千葉市,緑区,,,12105
千葉県,,千葉市,美浜区,,,12106
千葉県,,,銚子市,,,12202
千葉県,,,市川市,,,12203
千葉県,,,船橋市,,,12204
千葉県,,,館山市,,,12205
千葉県,,,木更津市,,,12206
千葉県,,,松戸市,,,12207
千葉県,,,野田市,,,12208
千葉県,,,茂原市,,,12210
千葉県,,,成田市,,,12211
千葉県,,,佐倉市,,,12212
千葉県,,,東金市,,,12213
千葉県,,,旭市,,,12215
千葉県,,,習志野市,,,12216
千葉県,,,柏市,,,12217
千葉県,,,勝浦市,,,12218
千葉県,,,市原市,,,12219
千葉県,,,流山市,,,12220
千葉県,,,八千代市,,,12221
千葉県,,,我孫子市,,,12222
千葉県,,,鴨川市,,,12223
千葉県,,,鎌ケ谷市,,,12224
千葉県,,,君津市,,,12225
千葉県,,,富津市,,,12226
千葉県,,,浦安市,,,12227
千葉県,,,四街道市,,,12228
千葉県,,,袖ケ浦市,,,12229
千葉県,,,八街市,,,12230
千葉県,,,印西市,,,12231
千葉県,,,白井市,,,12232
千葉県,,,富里市,,,12233
千葉県,,,南房総市,,,12234
千葉県,,,匝瑳市,,,12235
千葉県,,,香取市,,,12236
千葉県,,,山武市,,,12237
千葉県,,,いすみ市,,,12238
千葉県,,,大網白里市,,,12239
千葉県,,印旛郡,酒々井町,,,12322
千葉県,,印旛郡,栄町,,,12329
千葉県,,香取郡,神崎町,,,12342
千葉県,,香取郡,多古町,,,12347
千葉県,,香取郡,東庄町,,,12349
千葉県,,山武郡,九十九里町,,,12403
千葉県,,山武郡,芝山町,,,12409
千葉県,,山武郡,横芝光町,,,12410
千葉県,,長生郡,一宮町,,,12421
千葉県,,長生郡,睦沢町,,,12422
千葉県,,長生郡,長生村,,,12423
千葉県,,長生郡,白子町,,,12424
千葉県,,長生郡,長柄町,,,12426
千葉県,,長生郡,長南町,,,12427
千葉県,,夷隅郡,大多喜町,,,12441
千葉県,,夷隅郡,御宿町,,,12443
千葉県,,安房郡,鋸南町,,,12463
千葉県,,,所属未定地,,,
東京都,,千代田区,,,,13101
東京都,,中央区,,,,13102
東京都,,港区,,,,13103
東京都,,新宿区,,,,13104
東京都,,文京区,,,,13105
東京都,,台東区,,,,13106
東京都,,墨田区,,,,13107
東京都,,江東区,,,,13108
東京都,,品川区,,,,13109
東京都,,目黒区,,,,13110
東京都,,大田区,,,,13111
東京都,,世田谷区,,,,13112
東京都,,渋谷区,,,,13113
東京都,,中野区,,,,13114
東京都,,杉並区,,,,13115
東京都,,豊島区,,,,13116
東京都,,北区,,,,13117
東京都,,荒川区,,,,13118
東京都,,板橋区,,,,13119
東京都,,練馬区,,,,13120
東京都,,足立区,,,,13121
東京都,,葛飾区,,,,13122
東京都,,江戸川区,,,,13123
東京都,,,八王子市,,,13201
東京都,,,立川市,,,13202
東京都,,,武蔵野市,,,13203
東京都,,,三鷹市,,,13204
東京都,,,青梅市,,,13205
東京都,,,府中市,,,13206
東京都,,,昭島市,,,13207
東京都,,,調布市,,,13208
東京都,,,町田市,,,13209
東京都,,,小金井市,,,13210
東京都,,,小平市,,,13211
東京都,,,日野市,,,13212
東京都,,,東村山市,,,13213
東京都,,,国分寺市,,,13214
東京都,,,国立市,,,13215
東京都,,,福生市,,,13218
東京都,,,狛江市,,,13219
東京都,,,東大和市,,,13220
東京都,,,清瀬市,,,13221
東京都,,,東久留米市,,,13222
東京都,,,武蔵村山市,,,13223
東京都,,,多摩市,,,13224
東京都,,,稲城市,,,13225
東京都,,,羽村市,,,13227
東京都,,,あきる野市,,,13228
東京都,,,西東京市,,,13229
東京都,,西多摩郡,瑞穂町,,,13303
東京都,,西多摩郡,日の出町,,,13305
東京都,,西多摩郡,檜原村,,,13307
東京都,,西多摩郡,奥多摩町,,,13308
東京都,,,大島町,,,13361
東京都,,,利島村,,,13362
東京都,,,新島村,,,13363
東京都,,,神津島村,,,13364
東京都,,,三宅村,,,13381
東京都,,,御蔵島村,,,13382
東京都,,,八丈町,,,13401
東京都,,,青ケ島村,,,13402
東京都,,,小笠原村,,,13421
東京都,,,所属未定地,,,
神奈川県,,横浜市,鶴見区,,,14101
神奈川県,,横浜市,神奈川区,,,14102
神奈川県,,横浜市,西区,,,14103
神奈川県,,横浜市,中区,,,14104
神奈川県,,横浜市,南区,,,14105
神奈川県,,横浜市,保土ケ谷区,,,14106
神奈川県,,横浜市,磯子区,,,14107
神奈川県,,横浜市,金沢区,,,14108
神奈川県,,横浜市,港北区,,,14109
神奈川県,,横浜市,戸塚区,,,14110
神奈川県,,横浜市,港南区,,,14111
神奈川県,,横浜市,旭区,,,14112
神奈川県,,横浜市,緑区,,,14113
神奈川県,,横浜市,瀬谷区,,,14114
神奈川県,,横浜市,栄区,,,14115
神奈川県,,横浜市,泉区,,,14116
神奈川県,,横浜市,青葉区,,,14117
神奈川県,,横浜市,都筑区,,,14118
神奈川県,,川崎市,川崎区,,,14131
神奈川県,,川崎市,幸区,,,14132
神奈川県,,川崎市,中原区,,,14133
神奈川県,,川崎市,高津区,,,14134
神奈川県,,川崎市,多摩区,,,14135
神奈川県,,川崎市,宮前区,,,14136
神奈川県,,川崎市,麻生区,,,14137
神奈川県,,相模原市,緑区,,,14151
神奈川県,,相模原市,中央区,,,14152
神奈川県,,相模原市,南区,,,14153
神奈川県,,,横須賀市,,,14201
神奈川県,,,平塚市,,,14203
神奈川県,,,鎌倉市,,,14204
神奈川県,,,藤沢市,,,14205
神奈川県,,,小田原市,,,14206
神奈川県,,,茅ケ崎市,,,14207
神奈川県,,,逗子市,,,14208
神奈川県,,,三浦市,,,14210
神奈川県,,,秦野市,,,14211
神奈川県,,,厚木市,,,14212
神奈川県,,,大和市,,,14213
神奈川県,,,伊勢原市,,,14214
神奈川県,,,海老名市,,,14215
神奈川県,,,座間市,,,14216
神奈川県,,,南足柄市,,,14217
神奈川県,,,綾瀬市,,,14218
神奈川県,,三浦郡,葉山町,,,14301
神奈川県,,高座郡,寒川町,,,14321
神奈川県,,中郡,大磯町,,,14341
神奈川県,,中郡,二宮町,,,14342
神奈川県,,足柄上郡,中井町,,,14361
神奈川県,,足柄上郡,大井町,,,14362
神奈川県,,足柄上郡,松田町,,,14363
神奈川県,,足柄上郡,山北町,,,14364
神奈川県,,足柄上郡,開成町,,,14366
神奈川県,,足柄下郡,箱根町,,,14382
神奈川県,,足柄下郡,真鶴町,,,14383
神奈川県,,足柄下郡,湯河原町,,,14384
神奈川県,,愛甲郡,愛川町,,,14401
神奈川県,,愛甲郡,清川村,,,14402
神奈川県,,川崎市,川崎区,,,14131
