ésãÊí¨ë∫ï éîó{ì™êîÅEéîó{é{ê›êî,ãçÇÃéîó{ì™êî(ëçåv)(ïΩê¨ÇQÇVîNÇXåéññéûì_),ÉzÉãÉXÉ^ÉCÉìéÌ,ÉWÉÉÅ[ÉWÅ[éÌ,ì˚ópéÌ,"åéGéÌ
Åiì˜êÍópéÌ
Å~ì˚ópéÌÅj",çïñ—òaéÌ,äåñ—òaéÌ,ì˙ñ{íZäpéÌ,ñ≥äpòaéÌ,"çïñ—òaéÌ
Å~
äåñ—òaéÌ",òaãçä‘åéGéÌ,ì˜êÍópéÌ,ÇªÇÃëº,êlå˚,[!!íçñ⁄!!]ãçÇÃéîàÁì™êîÇÃêlå˚î‰,ãçÇÃéîó{é{ê›êî(ëçåv)(ïΩê¨ÇQÇVîNÇXåéññéûì_),1é{ê›Ç†ÇΩÇËÇÃéîàÁêî
éDñyés,1023,556,0,0,0,0,0,0,0,0,0,0,0,1936016,0.000528405,17,60.17647059
îüäŸés,676,460,,,,142,54,,,,,,,271479,0.002490064,25,27.04
è¨íMés,,,,,,,,,,,,,,125028,0,1,0
àÆêÏés,3353,2057,31,,660,586,,,,,,,,347207,0.009657063,40,83.825
é∫óñés,296,242,,,,54,,,,,,,,89799,0.003296251,4,74
ã˙òHés,19662,16806,56,37,1400,840,,,,,,350,,178394,0.110216711,130,151.2461538
ë—çLés,26925,18303,116,69,6926,1503,,,,,,,,168753,0.159552719,107,251.635514
ñkå©és,10858,9063,61,,284,1424,,,,,,,,122198,0.088855791,118,92.01694915
ä‚å©ëÚés,1023,971,9,,,36,,,,,,,,86054,0.011887884,22,46.5
ñ‘ëñés,5490,3046,,11,66,2293,,,,,,,,37740,0.145468998,49,112.0408163
óØñGés,295,,,,,295,,,,,,,,22957,0.012850111,3,98.33333333
ìœè¨ñqés,1111,728,,,,371,,,,,,,,174064,0.00638271,16,69.4375
ítì‡és,18753,14608,,31,2358,1667,,,,,,,,36827,0.50921878,150,125.02
î¸âSés,,,,,,,,,,,,,,23984,0,2,0
à∞ï és,729,717,,,,,,,,,,,,15404,0.04732537,9,81
ç]ï és,4976,4219,22,9,11,696,,,,,,,,120225,0.041389062,73,68.16438356
ê‘ïΩés,156,,,,,,,,,,,,,11383,0.013704647,3,52
ñ‰ï és,24757,22627,38,52,1600,440,,,,,,,,23644,1.047073253,115,215.2782609
émï és,17099,16104,21,34,387,547,,,,,,,,20676,0.826997485,64,267.171875
ñºäÒés,4506,4364,,,33,100,,,,,,,,29099,0.154850682,40,112.65
éOä}és,254,147,,,,64,,,,,,,,9519,0.026683475,5,50.8
ç™é∫és,11623,11177,7,31,46,236,,,,,,,,28050,0.414367201,104,111.7596154
êÁçŒés,6298,5552,20,26,645,55,,,,,,,,95532,0.065925554,53,118.8301887
ëÍêÏés,1143,,,,,308,,,,,,,,41924,0.02726362,13,87.92307692
çªêÏés,346,,,,,,,,,,,,,18112,0.019103357,3,115.3333333
ê[êÏés,6870,3208,,,2975,675,,,,,,,,22278,0.308375976,24,286.25
ïxó«ñÏés,4881,4659,,,22,188,,,,,,,,23324,0.209269422,34,143.5588235
ìoï és,2417,1559,,33,,811,,,,,,,,50571,0.04779419,18,134.2777778
åbíÎés,2222,2051,8,,13,133,,,,,,,,68956,0.032223447,25,88.88
à…íBés,3435,2110,18,105,21,1181,,,,,,,,35802,0.095944361,55,62.45454545
ñkçLìáés,1390,976,,,12,209,,,,,,,,59629,0.023310805,13,106.9230769
êŒéÎés,737,426,,,,307,,,,,,,,59362,0.01241535,21,35.0952381
ñkìlés,2306,677,,,1249,349,21,,,,,,,47967,0.048074718,29,79.51724138
ìñï í¨,674,,,,,527,,,,,,,,17251,0.039070199,16,42.125
èºëOí¨,551,,,,,512,,,,,,,,8251,0.066779784,14,39.35714286
ímì‡í¨,124,88,,,,,,,,,,,,4797,0.025849489,14,8.857142857
ñÿå√ì‡í¨,1049,264,,,,29,528,,,,,,,4683,0.224001708,21,49.95238095
éµî—í¨,12145,9572,,,2118,366,44,,,,,,,28785,0.42192114,52,233.5576923
é≠ïîí¨,,,,,,,,,,,,,,4237,0,2,0
êXí¨,2030,513,,,1230,134,148,,,,,,,17004,0.119383674,15,135.3333333
î™â_í¨,11779,10381,9,10,462,646,,190,,,,81,,17852,0.659814026,125,94.232
í∑ñúïîí¨,2766,2056,,,,695,,,,,,,,5972,0.46316142,42,65.85714286
ç]ç∑í¨,88,,,,,57,31,,,,,,,8466,0.010394519,5,17.6
è„Émçëí¨,96,,,,,,,,,,,,,5443,0.017637332,3,32
å˙ëÚïîí¨,1536,,,,,,,,,,,,,4258,0.360732738,3,512
â≥ïîí¨,,,,,,,,,,,,,,4059,0,1,0
âúêKí¨,255,,,,,149,,,,,,,,2939,0.086764206,8,31.875
ç°ã‡í¨,3604,1804,,,22,1778,,,,,,,,5730,0.628970332,72,50.05555556
ÇπÇΩÇ»í¨,5039,3794,22,54,490,675,,,,,,,,8845,0.569700396,77,65.44155844
ìáñqë∫,116,,,,,116,,,,,,,,1631,0.071122011,4,29
éıìsí¨,,,,,,,,,,,,,,3258,0,2,0
çïèºì‡í¨,3065,2461,12,,,589,,,,,,,,3097,0.98966742,27,113.5185185
óñâzí¨,111,,,,,,,,,,,,,5030,0.022067594,5,22.2
ÉjÉZÉRí¨,774,739,,19,10,,,,,,,,,4983,0.155328116,12,64.5
ê^éÎë∫,1205,910,,,,279,,,,,,,,2156,0.55890538,19,63.42105263
óØéıìsë∫,250,86,,,,164,,,,,,,,1886,0.132555673,7,35.71428571
äÏñŒï í¨,,,,,,,,,,,,,,2401,0,2,0
ãûã…í¨,173,,,,,,,,,,,,,3215,0.053810264,3,57.66666667
ã‰ímà¿í¨,932,834,,,,,,,,,,,,15825,0.058894155,18,51.77777778
ã§òaí¨,,,,,,,,,,,,,,6352,0,1,0
ä‚ì‡í¨,151,135,,,,,,,,,,,,13770,0.010965868,6,25.16666667
êœíOí¨,477,343,,,,66,,,,,,,,2334,0.20437018,9,53
å√ïΩí¨,,,,,,,,,,,,,,3431,0,1,0
ó]ésí¨,393,391,,,,,,,,,,,,20152,0.019501786,3,131
ê‘à‰êÏë∫,153,98,,,,,,,,,,,,1139,0.134328358,4,38.25
ìÏñyí¨,154,,,,,,,,,,,,,8155,0.01888412,3,51.33333333
ìﬁà‰ç]í¨,249,242,,,,,,,,,,,,5850,0.042564103,6,41.5
óRêmí¨,1798,1518,,48,8,203,,,,,,,,5624,0.31970128,16,112.375
í∑è¿í¨,2213,814,,7,674,704,,,,,,,,11489,0.192619027,18,122.9444444
åIéRí¨,427,,,,,,,,,,,,,12689,0.033651194,8,53.375
åéå`í¨,938,,,,7,839,,,,,,,,3577,0.26223092,11,85.27272727
âYâPí¨,1121,76,,,,197,,,,,,,,2078,0.53946102,10,112.1
êVè\í√êÏí¨,509,,,,,,,,,,,,,6929,0.073459374,12,42.41666667
ñÖîwãçí¨,191,,,,,,,,,,,,,3241,0.058932428,4,47.75
âJó≥í¨,,,,,,,,,,,,,,2682,0,1,0
ñkó≥í¨,138,,,,,,,,,,,,,2041,0.067613915,3,46
è¿ìcí¨,,,,,,,,,,,,,,3334,0,2,0
ëÈê≤í¨,340,281,,,,,,,,,,,,7264,0.046806167,10,34
ìåê_äyí¨,1325,1065,,9,18,233,,,,,,,,10237,0.129432451,11,120.4545455
î‰ïzí¨,173,62,,,,76,,,,,,,,3924,0.044087666,8,21.625
à§ï í¨,3325,,,,2396,,,,,,,,,3106,1.070508693,6,554.1666667
è„êÏí¨,2614,2175,,,,85,,,,,,,,4012,0.651545364,8,326.75
ìåêÏí¨,,,,,,,,,,,,,,7994,0,1,0
î¸âlí¨,10409,8130,,41,27,,,,,,,,,10593,0.982630039,33,315.4242424
è„ïxó«ñÏí¨,10859,1367,,,751,8709,,,,,,,,11263,0.964130338,31,350.2903226
íÜïxó«ñÏí¨,911,504,,,,402,,,,,,,,5272,0.172799697,16,56.9375
ìÏïxó«ñÏí¨,1235,1070,,,,158,,,,,,,,2650,0.466037736,6,205.8333333
êËä•ë∫,774,,,,,411,,,,,,,,1218,0.63546798,13,59.53846154
òaä¶í¨,778,521,,,,,,,,,,,,3699,0.210327115,10,77.8
åïï£í¨,567,425,,,10,34,,,,,,,,3359,0.168800238,11,51.54545455
â∫êÏí¨,4033,3271,,,401,335,,,,,,,,3494,1.154264453,32,126.03125
î¸ê[í¨,10630,8668,19,56,1022,809,,,,,,47,,4727,2.248783584,64,166.09375
âπà–éqï{ë∫,211,,,,,,,,,,,,,800,0.26375,6,35.16666667
íÜêÏí¨,2376,2061,,18,33,245,,,,,,,,1708,1.391100703,35,67.88571429
ñyâ¡ì‡í¨,582,213,,,,167,,,,,,,,1620,0.359259259,8,72.75
ëùñ—í¨,,,,,,,,,,,,,,4893,0,1,0
è¨ïΩí¨,496,,,,5,491,,,,,,,,3394,0.146140248,19,26.10526316
ìœëOí¨,1780,1764,,,6,,,,,,,,,3390,0.525073746,23,77.39130435
âHñyí¨,452,412,,,,,,,,,,,,7552,0.059851695,9,50.22222222
èâéRï ë∫,1410,1336,,,,,,,,,,,,1283,1.09898675,8,176.25
âìï í¨,4067,3730,,,11,,,,,,,,,2901,1.401930369,27,150.6296296
ìVâñí¨,14895,9375,,,238,5196,,,,,,,,3324,4.481046931,121,123.0991736
âéï•ë∫,8145,8076,,22,41,,,,,,,,,2783,2.926697808,63,129.2857143
ïlì⁄ï í¨,7986,7810,,46,24,,,,,,,,,3933,2.03051106,49,162.9795918
íÜì⁄ï í¨,3378,3213,,35,55,,,,,,,,,1863,1.813204509,40,84.45
é}çKí¨,11127,10881,,,98,107,,,,,,,,8722,1.275739509,120,92.725
ñLïxí¨,15231,14288,,31,72,816,,,,,,,,4172,3.650767018,151,100.8675497
ñyâÑí¨,9346,8760,,,30,538,,,,,,,,2501,3.736905238,84,111.2619048
î¸ñyí¨,8456,3954,,,3580,871,,,,,,,,20851,0.405544099,45,187.9111111
í√ï í¨,7886,3771,,,192,3874,,,,,,,,5231,1.507551137,46,171.4347826
éŒó¢í¨,2311,1683,,,120,506,,,,,,,,12186,0.189643854,27,85.59259259
ê¥ó¢í¨,2686,2035,,,14,637,,,,,,,,4380,0.613242009,22,122.0909091
è¨ê¥êÖí¨,5826,4548,11,,62,1194,,,,,,,,5227,1.114597283,64,91.03125
åPéqï{í¨,5992,5615,34,5,22,316,,,,,,,,5323,1.125681007,59,101.559322
íuåÀí¨,6089,5234,7,12,676,160,,,,,,,,3138,1.940407903,60,101.4833333
ç≤òCä‘í¨,25399,10292,30,15,10742,4312,,,,,,8,,5644,4.500177179,119,213.4369748
âìåyí¨,12768,10491,31,19,1240,987,,,,,,,,21432,0.595744681,85,150.2117647
óNï í¨,26368,21863,64,11,2316,2114,,,,,,,,9535,2.765390666,193,136.6217617
ëÍè„í¨,4688,4143,,,31,,,,,,,,,2847,1.646645592,33,142.0606061
ãªïîí¨,11873,11374,25,21,90,363,,,,,,,,4106,2.891622017,82,144.7926829
êºãªïîë∫,2517,2476,14,,15,,,,,,,,,1147,2.194420227,18,139.8333333
óYïêí¨,12728,10817,,,198,632,,,,,,1065,,4700,2.708085106,71,179.2676056
ëÂãÛí¨,10681,6967,,,399,3302,,,,,,,,7708,1.385703166,87,122.7701149
ñLâYí¨,3258,1002,,,,,,,,,,,,4306,0.756618672,23,141.6521739
ësïÀí¨,704,,,,,704,,,,,,,,2705,0.26025878,17,41.41176471
îíòVí¨,11908,504,,,1044,10348,,,,,,,,18378,0.647948634,33,360.8484848
å˙ê^í¨,2405,677,,,,1723,,,,,,,,4711,0.510507323,44,54.65909091
ì¥ñÍåŒí¨,2504,314,,,,2181,,,,,,,,9508,0.263357173,21,119.2380952
à¿ïΩí¨,5912,2135,10,56,600,2906,,,,,,,,8555,0.691057861,65,90.95384615
ÇﬁÇ©ÇÌí¨,3558,453,,,25,3078,,,,,,,,8997,0.395465155,70,50.82857143
ì˙çÇí¨,8074,4461,17,9,544,3022,,,,,,21,,12913,0.625261365,108,74.75925926
ïΩéÊí¨,4182,1897,,,,2266,,,,,,,,5416,0.772156573,49,85.34693878
êVä•í¨,6386,2754,15,,428,3170,,,,,,,,5735,1.113513514,76,84.02631579
âYâÕí¨,2088,414,,,11,1663,,,,,,,,13289,0.157122432,52,40.15384615
óléóí¨,275,129,,,,99,,,,,,,,4703,0.058473315,8,34.375
Ç¶ÇËÇ‡í¨,1623,,,,216,1103,,,,,7,11,,5153,0.314962158,25,64.92
êVÇ–ÇæÇ©í¨,7562,2307,14,,16,5067,,,,,,,,24295,0.31125746,113,66.92035398
âπçXí¨,17139,8942,,17,2187,5805,,,,,,,,45391,0.377585865,115,149.0347826
émñyí¨,69945,50067,40,54,18718,1057,,,,,,9,,6395,10.93745113,132,529.8863636
è„émñyí¨,32985,19502,30,81,9055,4296,,,,,,5,,4924,6.698822096,92,358.5326087
é≠í«í¨,30958,26291,85,28,3856,698,,,,,,,,5603,5.525254328,113,273.9646018
êVìæí¨,32159,22992,302,,7153,1469,,,,,,,,6455,4.982029435,61,527.1967213
ê¥êÖí¨,53921,37498,71,175,8670,7009,,,,,,167,,9896,5.448767179,179,301.2346369
âËé∫í¨,25963,20942,21,34,4405,444,,,,,,,,19218,1.350973046,69,376.2753623
íÜéDì‡ë∫,7985,7507,34,,206,,,,,,,,,4080,1.957107843,30,266.1666667
çXï ë∫,7455,5226,24,22,439,1744,,,,,,,,3334,2.236052789,72,103.5416667
ëÂé˜í¨,28489,24561,29,32,1128,2736,,,,,,,,5845,4.874080411,148,192.4932432
çLîˆí¨,13840,12815,,99,32,857,,,,,,,,7468,1.853240493,98,141.2244898
ñãï í¨,24950,16923,35,48,3286,4655,,,,,,,,27660,0.902024584,181,137.8453039
írìcí¨,8634,4152,,,579,3045,849,,,,,5,,7231,1.194025723,96,89.9375
ñLç†í¨,16210,13341,8,,1444,1401,,,,,,,,3359,4.825841024,87,186.3218391
ñ{ï í¨,18461,13685,,26,2438,2290,,,,,,,,7733,2.387301177,132,139.8560606
ë´äÒí¨,23232,14835,,143,2099,5772,,,,,,,,7376,3.14967462,168,138.2857143
ó§ï í¨,10041,8738,,,,1003,,,,,,,,2596,3.867873652,75,133.88
âYñyí¨,14526,7486,17,14,1957,4985,,,,,,,,5257,2.763172912,102,142.4117647
ã˙òHí¨,2034,1830,,,12,192,,,,,,,,20329,0.10005411,11,184.9090909
å˙ä›í¨,14806,13964,,34,591,211,,,,,,,,10173,1.455421213,106,139.6792453
ïlíÜí¨,24938,23340,,390,383,777,,,,,,,,6282,3.969754855,207,120.47343
ïWíÉí¨,54339,44418,149,107,6652,3001,,,,,,,,8007,6.786436868,322,168.7546584
íÌéqã¸í¨,13260,11798,47,34,96,1235,,,,,,,,7877,1.683381998,111,119.4594595
íﬂãèë∫,14069,13492,26,,55,481,,,,,,,,2532,5.556477093,94,149.6702128
îíçfí¨,21998,20688,36,295,131,842,,,,,,6,,8638,2.546654318,66,333.3030303
ï äCí¨,110936,102971,398,381,2951,4097,,82,,,,30,,15847,7.000441724,790,140.4253165
íÜïWí√í¨,44557,41306,64,127,1274,1764,,,,,,,,24205,1.840818013,336,132.610119
ïWí√í¨,23249,22352,,22,76,724,,,,,,,,5460,4.258058608,144,161.4513889
óÖâPí¨,631,619,,,,,,,,,,,,5678,0.11113068,9,70.11111111
